date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:55:04	234/234	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Dec%202020%2005:25:03%20GMT	https://preview.colorlib.com/robots.txt		(from )
10:55:04	16690/16690	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Jul%202019%2023:21:17%20GMT	https://preview.colorlib.com/theme/medico/	C:/My%20Web%20Sites/Fall%20fest/preview.colorlib.com/theme/medico/index.html	(from )
10:55:04	741/741	---M--	200	added ('OK')	image/png	etag:%22538-58d0b7a166d00%22	https://preview.colorlib.com/theme/medico/img/favicon.png	C:/My%20Web%20Sites/Fall%20fest/preview.colorlib.com/theme/medico/img/favicon.png	(from https://preview.colorlib.com/theme/medico/)
10:55:04	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%222606e-58d0b782e2500-gzip%22	https://preview.colorlib.com/theme/medico/css/bootstrap.min.css	C:/My%20Web%20Sites/Fall%20fest/preview.colorlib.com/theme/medico/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/medico/)
10:55:04	60586/60586	---MCZ	200	added ('OK')	text/css	etag:W/%2212fbe-58d0b781ee2c0-gzip%22	https://preview.colorlib.com/theme/medico/css/animate.css	C:/My%20Web%20Sites/Fall%20fest/preview.colorlib.com/theme/medico/css/animate.css	(from https://preview.colorlib.com/theme/medico/)
10:55:05	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-58d0b785bebc0-gzip%22	https://preview.colorlib.com/theme/medico/css/owl.carousel.min.css	C:/My%20Web%20Sites/Fall%20fest/preview.colorlib.com/theme/medico/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/medico/)
10:55:05	13862/13862	---MCZ	200	added ('OK')	text/css	etag:W/%224042-58d0b7889b280-gzip%22	https://preview.colorlib.com/theme/medico/css/themify-icons.css	C:/My%20Web%20Sites/Fall%20fest/preview.colorlib.com/theme/medico/css/themify-icons.css	(from https://preview.colorlib.com/theme/medico/)
10:55:05	733/733	---MCZ	200	added ('OK')	text/css	etag:W/%223cb-58d0b783d6740-gzip%22	https://preview.colorlib.com/theme/medico/css/flaticon.css	C:/My%20Web%20Sites/Fall%20fest/preview.colorlib.com/theme/medico/css/flaticon.css	(from https://preview.colorlib.com/theme/medico/)
10:55:05	5237/5237	---MCZ	200	added ('OK')	text/css	etag:W/%22148b-58d0b784ca980-gzip%22	https://preview.colorlib.com/theme/medico/css/magnific-popup.css	C:/My%20Web%20Sites/Fall%20fest/preview.colorlib.com/theme/medico/css/magnific-popup.css	(from https://preview.colorlib.com/theme/medico/)
10:55:06	3078/3078	---MCZ	200	added ('OK')	text/css	etag:W/%22fa9-58d0b784ca980-gzip%22	https://preview.colorlib.com/theme/medico/css/nice-select.css	C:/My%20Web%20Sites/Fall%20fest/preview.colorlib.com/theme/medico/css/nice-select.css	(from https://preview.colorlib.com/theme/medico/)
